"(nworkers,n_threads)",time[s],time[min]
"(1, 4)",478.08,7 m 58.1 s
"(1, 1)",998.41,16 m 38.4 s
"(2, 2)",417.14,6 m 57.1 s
"(4, 1)",419.01,6 m 59.0 s
"(4, 3)",396.53,6 m 36.5 s
