"(nworkers,n_threads)",time[s],time[min]
"(1, 2)",581.6,9 m 41.6 s
"(1, 8)",423.9,7 m 3.9 s
"(2, 1)",566.3,9 m 26.3 s
"(2, 4)",377.0,6 m 17.0 s
"(3, 2)",365.4,6 m 5.4 s
"(3, 4)",357.9,5 m 57.9 s
"(4, 1)",410.8,6 m 50.8 s
"(4, 2)",384.9,6 m 24.9 s
"(4, 3)",376.4,6 m 16.4 s
