"(nworkers,n_threads)",time[s],time[min]
"(1, 4)",116.66,1 m 56.7 s
"(1, 1)",231.18,3 m 51.2 s
"(2, 2)",120.79,2 m 0.8 s
"(4, 1)",121.84,2 m 1.8 s
"(4, 3)",99.84,1 m 39.8 s
