"(nworkers,n_threads)",time[s],time[min]
"(1, 1)",981.9,16 m 21.9 s
"(1, 2)",483.42,8 m 3.4 s
"(1, 4)",390.35,6 m 30.4 s
"(2, 1)",488.87,8 m 8.9 s
"(2, 2)",341.17,5 m 41.2 s
"(2, 4)",343.66,5 m 43.7 s
"(4, 1)",385.26,6 m 25.3 s
"(4, 2)",329.16,5 m 29.2 s
"(4, 4)",301.09,5 m 1.1 s
