"(nworkers,n_threads)",time[s],time[min]
"(1, 1)",1363.01,22 m 43.0 s
"(1, 2)",489.47,8 m 9.5 s
"(1, 4)",399.07,6 m 39.1 s
"(2, 1)",449.19,7 m 29.2 s
"(2, 2)",345.12,5 m 45.1 s
"(2, 4)",302.16,5 m 2.2 s
"(4, 1)",329.37,5 m 29.4 s
"(4, 2)",288.95,4 m 48.9 s
