"(nworkers,n_threads)",time[s],time[min]
"(1, 1)",1096.42,18 m 16.4 s
"(1, 2)",468.79,7 m 48.8 s
"(1, 4)",366.01,6 m 6.0 s
"(2, 1)",441.77,7 m 21.8 s
"(2, 2)",335.42,5 m 35.4 s
"(2, 4)",304.26,5 m 4.3 s
"(4, 1)",334.64,5 m 34.6 s
"(4, 2)",284.86,4 m 44.9 s
