"(nworkers,n_threads)",time[s],time[min]
"(1, 4)",495.32,8 m 15.3 s
"(1, 1)",1143.37,19 m 3.4 s
"(2, 2)",519.71,8 m 39.7 s
"(4, 1)",504.43,8 m 24.4 s
"(4, 3)",406.03,6 m 46.0 s
