"(nworkers,n_threads)",time[s],time[min]
"(1, 4)",94.36,1 m 34.4 s
"(1, 1)",204.47,3 m 24.5 s
"(2, 2)",106.1,1 m 46.1 s
"(4, 1)",101.94,1 m 41.9 s
"(4, 3)",82.23,1 m 22.2 s
