"(nworkers,n_threads)",time[s],time[min]
"(1, 1)",1039.73,17 m 19.7 s
"(1, 2)",468.28,7 m 48.3 s
"(1, 3)",399.48,6 m 39.5 s
"(2, 1)",446.77,7 m 26.8 s
"(2, 2)",341.68,5 m 41.7 s
"(3, 1)",361.22,6 m 1.2 s
"(3, 2)",306.99,5 m 7.0 s
"(3, 3)",288.27,4 m 48.3 s
